combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
6,4,4,2026-03-19 21:26:00,16769.0,2026-03-19 21:27:00,16721.0,1,-0.28624247122666824,False,0.28624247122666824,True,1#大阴-0.53%;2#大阴-0.26%;3#中阴-0.36%;4#大阴-0.36%,大阳
6,4,4,2026-03-19 21:50:00,16770.0,2026-03-19 21:51:00,16818.0,1,0.28622540250447226,True,-0.28622540250447226,False,1#十字星-0.03%;2#长上影阳+0.10%;3#倒T-0.05%;4#长上影阴-0.07%,T字
6,4,4,2026-03-19 22:06:00,17248.0,2026-03-19 22:07:00,17207.0,1,-0.237708719851577,False,0.237708719851577,True,1#长下影阴-0.08%;2#小阴-0.03%;3#长下影阴-0.05%;4#十字星+0.00%,长下影阳
6,4,4,2026-03-19 22:22:00,17205.0,2026-03-19 22:23:00,17248.0,1,0.24992734670154026,True,-0.24992734670154026,False,1#大阳+0.21%;2#小阴-0.03%;3#大阳+0.31%;4#中阴-0.17%,大阴
6,4,4,2026-03-19 22:23:00,17248.0,2026-03-19 22:24:00,17250.0,1,0.011595547309833025,True,-0.011595547309833025,False,1#小阴-0.03%;2#大阳+0.31%;3#中阴-0.17%;4#大阴-0.21%,大阳
6,4,4,2026-03-19 22:29:00,17200.0,2026-03-19 22:30:00,17192.0,1,-0.046511627906976744,False,0.046511627906976744,True,1#大阳+0.35%;2#十字星-0.02%;3#大阴-0.44%;4#中阴-0.14%,T字
6,4,4,2026-03-19 22:30:00,17192.0,2026-03-19 22:31:00,17203.0,1,0.06398324802233597,True,-0.06398324802233597,False,1#十字星-0.02%;2#大阴-0.44%;3#中阴-0.14%;4#T字-0.01%,中阴
6,4,4,2026-03-19 22:31:00,17203.0,2026-03-19 22:32:00,17244.0,1,0.23833052374585828,True,-0.23833052374585828,False,1#大阴-0.44%;2#中阴-0.14%;3#T字-0.01%;4#中阴-0.12%,长上影阴
6,4,4,2026-03-19 22:59:00,17324.0,2026-03-19 23:00:00,17316.0,1,-0.046178711613945975,False,0.046178711613945975,True,1#中阳+0.08%;2#中阴-0.11%;3#十字星+0.00%;4#长下影阳+0.03%,长上影阴
6,4,4,2026-03-19 23:00:00,17316.0,2026-03-19 23:01:00,17311.0,1,-0.028875028875028876,False,0.028875028875028876,True,1#中阴-0.11%;2#十字星+0.00%;3#长下影阳+0.03%;4#长上影阴-0.04%,中阴
6,4,4,2026-03-19 23:01:00,17311.0,2026-03-19 23:02:00,17309.0,1,-0.01155334758246202,False,0.01155334758246202,True,1#十字星+0.00%;2#长下影阳+0.03%;3#长上影阴-0.04%;4#中阴-0.08%,长上影阴
6,4,4,2026-03-19 23:02:00,17309.0,2026-03-19 23:03:00,17321.0,1,0.06932809521058408,True,-0.06932809521058408,False,1#长下影阳+0.03%;2#长上影阴-0.04%;3#中阴-0.08%;4#长上影阴-0.02%,倒T
6,4,4,2026-03-19 23:03:00,17321.0,2026-03-19 23:04:00,17355.0,1,0.19629351654061544,True,-0.19629351654061544,False,1#长上影阴-0.04%;2#中阴-0.08%;3#长上影阴-0.02%;4#倒T-0.01%,中阳
6,4,4,2026-03-19 23:19:00,17438.0,2026-03-19 23:20:00,17451.0,1,0.07454983369652483,True,-0.07454983369652483,False,1#大阳+0.13%;2#大阴-0.18%;3#长下影阴-0.06%;4#大阴-0.17%,倒T
6,4,4,2026-03-19 23:20:00,17451.0,2026-03-19 23:21:00,17465.0,1,0.08022462896109105,True,-0.08022462896109105,False,1#大阴-0.18%;2#长下影阴-0.06%;3#大阴-0.17%;4#倒T-0.01%,中阳
6,4,4,2026-03-19 23:25:00,17408.0,2026-03-19 23:26:00,17421.0,1,0.07467830882352941,True,-0.07467830882352941,False,1#中阳+0.08%;2#倒T+0.02%;3#倒T-0.01%;4#中阴-0.14%,大阴
6,4,4,2026-03-19 23:26:00,17421.0,2026-03-19 23:27:00,17351.0,1,-0.40181390276103557,False,0.40181390276103557,True,1#倒T+0.02%;2#倒T-0.01%;3#中阴-0.14%;4#大阴-0.19%,小阳
6,4,4,2026-03-19 23:34:00,17172.0,2026-03-19 23:35:00,17200.0,1,0.1630561378989052,True,-0.1630561378989052,False,1#长下影阳+0.04%;2#大阴-0.29%;3#大阴-0.35%;4#大阴-0.39%,大阴
6,4,4,2026-03-19 23:35:00,17200.0,2026-03-19 23:36:00,17224.0,1,0.13953488372093023,True,-0.13953488372093023,False,1#大阴-0.29%;2#大阴-0.35%;3#大阴-0.39%;4#大阴-0.31%,大阳
6,4,4,2026-03-20 00:12:00,17438.0,2026-03-20 00:13:00,17449.0,1,0.06308062851244409,True,-0.06308062851244409,False,1#大阳+0.43%;2#长下影阴-0.06%;3#中阴-0.10%;4#大阴-0.40%,中阳
6,4,4,2026-03-20 00:25:00,17438.0,2026-03-20 00:26:00,17430.0,1,-0.045876820736322974,False,0.045876820736322974,True,1#大阳+0.24%;2#大阴-0.09%;3#大阴-0.16%;4#长上影阴-0.02%,长上影阳
6,4,4,2026-03-20 00:53:00,17311.0,2026-03-20 00:54:00,17320.0,1,0.05199006412107909,True,-0.05199006412107909,False,1#大阳+0.05%;2#中阴-0.03%;3#倒T-0.01%;4#大阴-0.32%,中阴
6,4,4,2026-03-20 00:54:00,17320.0,2026-03-20 00:55:00,17349.0,1,0.1674364896073903,True,-0.1674364896073903,False,1#中阴-0.03%;2#倒T-0.01%;3#大阴-0.32%;4#中阴-0.28%,长上影阳
6,4,4,2026-03-20 01:10:00,17363.0,2026-03-20 01:11:00,17372.0,1,0.05183436042158614,True,-0.05183436042158614,False,1#大阳+0.09%;2#中阴-0.05%;3#大阴-0.09%;4#大阴-0.22%,中阴
6,4,4,2026-03-20 01:11:00,17372.0,2026-03-20 01:12:00,17388.0,1,0.09210223347916187,True,-0.09210223347916187,False,1#中阴-0.05%;2#大阴-0.09%;3#大阴-0.22%;4#中阴-0.10%,长下影阳
6,4,4,2026-03-20 01:31:00,17555.0,2026-03-20 01:32:00,17552.0,1,-0.01708914839077186,False,0.01708914839077186,True,1#大阳+0.27%;2#大阴-0.23%;3#大阴-0.14%;4#中阴-0.05%,大阳
6,4,4,2026-03-20 01:35:00,17528.0,2026-03-20 01:36:00,17516.0,1,-0.06846188954815154,False,0.06846188954815154,True,1#大阳+0.18%;2#长下影阴-0.02%;3#中阴-0.05%;4#中阴-0.07%,十字星
6,4,4,2026-03-20 02:20:00,17592.0,2026-03-20 02:21:00,17612.0,1,0.11368804001819009,True,-0.11368804001819009,False,1#中阳+0.06%;2#长下影阴-0.06%;3#中阴-0.09%;4#大阴-0.15%,长上影阴
6,4,4,2026-03-20 02:21:00,17612.0,2026-03-20 02:22:00,17617.0,1,0.028389734272087217,True,-0.028389734272087217,False,1#长下影阴-0.06%;2#中阴-0.09%;3#大阴-0.15%;4#长上影阴-0.03%,中阳
6,4,4,2026-03-20 09:12:00,18060.0,2026-03-20 09:13:00,18049.0,1,-0.06090808416389812,False,0.06090808416389812,True,1#中阳+0.21%;2#长下影阴-0.05%;3#大阴-0.40%;4#长上影阴-0.07%,倒T
6,4,4,2026-03-20 09:13:00,18049.0,2026-03-20 09:14:00,18087.0,1,0.21053797994348716,True,-0.21053797994348716,False,1#长下影阴-0.05%;2#大阴-0.40%;3#长上影阴-0.07%;4#倒T-0.01%,长下影阴
6,4,4,2026-03-20 09:14:00,18087.0,2026-03-20 09:15:00,18105.0,1,0.09951899154088573,True,-0.09951899154088573,False,1#大阴-0.40%;2#长上影阴-0.07%;3#倒T-0.01%;4#长下影阴-0.05%,中阳
6,4,4,2026-03-20 09:22:00,18178.0,2026-03-20 09:23:00,18217.0,1,0.2145450544614369,True,-0.2145450544614369,False,1#小阴-0.08%;2#中阴-0.15%;3#长上影阳+0.07%;4#大阴-0.15%,大阳
6,4,4,2026-03-20 09:49:00,18395.0,2026-03-20 09:50:00,18432.0,1,0.2011416145691764,True,-0.2011416145691764,False,1#十字星-0.04%;2#中阳+0.11%;3#长上影阴-0.10%;4#大阴-0.44%,长下影阴
6,4,4,2026-03-20 09:50:00,18432.0,2026-03-20 09:51:00,18367.0,1,-0.3526475694444445,False,0.3526475694444445,True,1#中阳+0.11%;2#长上影阴-0.10%;3#大阴-0.44%;4#长下影阴-0.08%,中阳
6,4,4,2026-03-20 09:58:00,18297.0,2026-03-20 09:59:00,18379.0,1,0.44816090069410286,True,-0.44816090069410286,False,1#中阳+0.07%;2#大阴-0.16%;3#大阴-0.16%;4#中阴-0.16%,长下影阳
6,4,4,2026-03-20 10:38:00,18348.0,2026-03-20 10:39:00,18343.0,1,-0.02725092653150207,False,0.02725092653150207,True,1#中阳+0.09%;2#中阴-0.07%;3#大阴-0.17%;4#大阴-0.24%,中阴
6,4,4,2026-03-20 10:39:00,18343.0,2026-03-20 10:40:00,18359.0,1,0.08722673499427575,True,-0.08722673499427575,False,1#中阴-0.07%;2#大阴-0.17%;3#大阴-0.24%;4#中阴-0.10%,大阴
6,4,4,2026-03-20 10:40:00,18359.0,2026-03-20 10:41:00,18304.0,1,-0.2995805871779509,False,0.2995805871779509,True,1#大阴-0.17%;2#大阴-0.24%;3#中阴-0.10%;4#大阴-0.18%,大阳
6,4,4,2026-03-20 10:47:00,18326.0,2026-03-20 10:48:00,18348.0,1,0.12004801920768307,True,-0.12004801920768307,False,1#中阳+0.20%;2#长上影阴-0.04%;3#中阴-0.15%;4#十字星-0.01%,大阳
