combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
5,2,2,2026-03-19 10:53:00,18983.0,2026-03-19 10:55:00,19006.0,2,0.12116103882421113,True,-0.12116103882421113,False,1#长上影阴-0.06%;2#长下影阳+0.07%,大阳
5,2,2,2026-03-19 22:32:00,17244.0,2026-03-19 22:34:00,17265.0,2,0.12178148921363954,True,-0.12178148921363954,False,1#中阴-0.12%;2#长上影阴-0.06%,中阳
5,2,2,2026-03-19 22:33:00,17277.0,2026-03-19 22:35:00,17316.0,2,0.2257336343115124,True,-0.2257336343115124,False,1#长上影阴-0.06%;2#中阳+0.23%,大阳
5,2,2,2026-03-19 22:34:00,17265.0,2026-03-19 22:36:00,17330.0,2,0.3764842166232262,True,-0.3764842166232262,False,1#中阳+0.23%;2#大阳+0.23%,倒T
5,2,2,2026-03-19 22:36:00,17330.0,2026-03-19 22:38:00,17329.0,2,-0.0057703404500865545,False,0.0057703404500865545,True,1#倒T-0.01%;2#长下影阳+0.13%,小阴
5,2,2,2026-03-19 22:37:00,17358.0,2026-03-19 22:39:00,17295.0,2,-0.3629450397511234,False,0.3629450397511234,True,1#长下影阳+0.13%;2#小阴-0.03%,长下影阳
5,2,2,2026-03-19 22:38:00,17329.0,2026-03-19 22:40:00,17307.0,2,-0.12695481562698366,False,0.12695481562698366,True,1#小阴-0.03%;2#长下影阳+0.05%,中阴
5,2,2,2026-03-19 22:41:00,17329.0,2026-03-19 22:43:00,17295.0,2,-0.19620289687806566,False,0.19620289687806566,True,1#长上影阳+0.12%;2#小阳+0.08%,中阳
5,2,2,2026-03-19 22:42:00,17315.0,2026-03-19 22:44:00,17300.0,2,-0.08663008951775916,False,0.08663008951775916,True,1#小阳+0.08%;2#中阳+0.13%,倒T
5,2,2,2026-03-19 22:45:00,17317.0,2026-03-19 22:47:00,17294.0,2,-0.13281746260899696,False,0.13281746260899696,True,1#大阴-0.12%;2#长上影阳+0.03%,长上影阳
5,2,2,2026-03-19 22:46:00,17290.0,2026-03-19 22:48:00,17289.0,2,-0.00578368999421631,False,0.00578368999421631,True,1#长上影阳+0.03%;2#长上影阳+0.05%,中阴
5,2,2,2026-03-19 22:48:00,17289.0,2026-03-19 22:50:00,17331.0,2,0.24292903001908728,True,-0.24292903001908728,False,1#中阴-0.12%;2#长上影阳+0.04%,小阴
5,2,2,2026-03-19 22:50:00,17331.0,2026-03-19 22:52:00,17379.0,2,0.276960360048468,True,-0.276960360048468,False,1#小阴-0.03%;2#大阳+0.12%,长下影阴
5,2,2,2026-03-19 22:51:00,17337.0,2026-03-19 22:53:00,17370.0,2,0.19034435023360444,True,-0.19034435023360444,False,1#大阳+0.12%;2#长下影阴-0.03%,长下影阳
5,2,2,2026-03-19 22:52:00,17379.0,2026-03-19 22:54:00,17375.0,2,-0.02301628402094482,False,0.02301628402094482,True,1#长下影阴-0.03%;2#长下影阳+0.06%,长下影阳
5,2,2,2026-03-19 22:53:00,17370.0,2026-03-19 22:55:00,17381.0,2,0.06332757628094415,True,-0.06332757628094415,False,1#长下影阳+0.06%;2#长下影阳+0.11%,中阴
5,2,2,2026-03-19 22:55:00,17381.0,2026-03-19 22:57:00,17347.0,2,-0.19561590242218513,False,0.19561590242218513,True,1#中阴-0.09%;2#十字星+0.00%,中阳
5,2,2,2026-03-19 22:56:00,17369.0,2026-03-19 22:58:00,17336.0,2,-0.18999366687777072,False,0.18999366687777072,True,1#十字星+0.00%;2#中阳+0.08%,中阴
5,2,2,2026-03-19 23:04:00,17355.0,2026-03-19 23:06:00,17537.0,2,1.0486891385767791,True,-1.0486891385767791,False,1#倒T-0.01%;2#中阳+0.09%,大阳
5,2,2,2026-03-19 23:05:00,17483.0,2026-03-19 23:07:00,17511.0,2,0.1601555797060001,True,-0.1601555797060001,False,1#中阳+0.09%;2#大阳+0.18%,大阳
5,2,2,2026-03-19 23:06:00,17537.0,2026-03-19 23:08:00,17450.0,2,-0.4960939727433426,False,0.4960939727433426,True,1#大阳+0.18%;2#大阳+0.74%,大阳
5,2,2,2026-03-19 23:07:00,17511.0,2026-03-19 23:09:00,17463.0,2,-0.27411341442521847,False,0.27411341442521847,True,1#大阳+0.74%;2#大阳+0.31%,中阴
5,2,2,2026-03-19 23:10:00,17480.0,2026-03-19 23:12:00,17444.0,2,-0.20594965675057209,False,0.20594965675057209,True,1#大阴-0.37%;2#长下影阳+0.06%,中阳
5,2,2,2026-03-19 23:11:00,17469.0,2026-03-19 23:13:00,17457.0,2,-0.06869311351537008,False,0.06869311351537008,True,1#长下影阳+0.06%;2#中阳+0.11%,长下影阴
5,2,2,2026-03-19 23:14:00,17497.0,2026-03-19 23:16:00,17485.0,2,-0.06858318568897526,False,0.06858318568897526,True,1#大阴-0.13%;2#长下影阳+0.06%,大阳
5,2,2,2026-03-19 23:15:00,17520.0,2026-03-19 23:17:00,17472.0,2,-0.273972602739726,False,0.273972602739726,True,1#长下影阳+0.06%;2#大阳+0.23%,大阳
5,2,2,2026-03-19 23:16:00,17485.0,2026-03-19 23:18:00,17441.0,2,-0.25164426651415495,False,0.25164426651415495,True,1#大阳+0.23%;2#大阳+0.13%,大阴
5,2,2,2026-03-19 23:21:00,17465.0,2026-03-19 23:23:00,17460.0,2,-0.028628685943315198,False,0.028628685943315198,True,1#倒T-0.01%;2#中阳+0.08%,中阳
5,2,2,2026-03-19 23:22:00,17464.0,2026-03-19 23:24:00,17437.0,2,-0.15460375629867154,False,0.15460375629867154,True,1#中阳+0.08%;2#中阳+0.08%,倒T
5,2,2,2026-03-19 23:27:00,17351.0,2026-03-19 23:29:00,17375.0,2,0.13832055789291683,True,-0.13832055789291683,False,1#大阴-0.19%;2#小阳+0.07%,大阴
5,2,2,2026-03-19 23:30:00,17385.0,2026-03-19 23:32:00,17279.0,2,-0.6097210238711532,False,0.6097210238711532,True,1#十字星-0.01%;2#大阳+0.16%,长下影阳
5,2,2,2026-03-19 23:31:00,17335.0,2026-03-19 23:33:00,17217.0,2,-0.6807037784828383,False,0.6807037784828383,True,1#大阳+0.16%;2#长下影阳+0.04%,大阴
5,2,2,2026-03-19 23:36:00,17224.0,2026-03-19 23:38:00,17201.0,2,-0.13353460287970273,False,0.13353460287970273,True,1#大阴-0.31%;2#大阳+0.20%,长下影阳
5,2,2,2026-03-19 23:37:00,17239.0,2026-03-19 23:39:00,17204.0,2,-0.20302801786646557,False,0.20302801786646557,True,1#大阳+0.20%;2#长下影阳+0.15%,长上影阳
5,2,2,2026-03-19 23:38:00,17201.0,2026-03-19 23:40:00,17214.0,2,0.07557700133713156,True,-0.07557700133713156,False,1#长下影阳+0.15%;2#长上影阳+0.09%,大阴
5,2,2,2026-03-19 23:40:00,17214.0,2026-03-19 23:42:00,17201.0,2,-0.07551992564191937,False,0.07551992564191937,True,1#大阴-0.22%;2#中阴-0.05%,长下影阳
5,2,2,2026-03-19 23:41:00,17217.0,2026-03-19 23:43:00,17194.0,2,-0.1335888946971017,False,0.1335888946971017,True,1#中阴-0.05%;2#长下影阳+0.09%,T字
5,2,2,2026-03-19 23:42:00,17201.0,2026-03-19 23:44:00,17211.0,2,0.058136154874716586,True,-0.058136154874716586,False,1#长下影阳+0.09%;2#T字-0.02%,中阴
5,2,2,2026-03-19 23:45:00,17213.0,2026-03-19 23:47:00,17197.0,2,-0.09295300063905187,False,0.09295300063905187,True,1#长下影阴-0.03%;2#中阳+0.09%,十字星
