combo_type,length,start_time,end_time,long_pnl,long_pnl_pct,long_win,short_pnl,short_pnl_pct,short_win
震荡_阳线_9K,9,2026-03-20 01:43:00,2026-03-20 01:51:00,64.0,0.3648386728993273,True,-64.0,-0.3648386728993273,False
震荡_阳线_9K,9,2026-03-20 01:44:00,2026-03-20 01:52:00,99.0,0.5647461494580719,True,-99.0,-0.5647461494580719,False
震荡_阳线_9K,9,2026-03-20 01:45:00,2026-03-20 01:53:00,170.0,0.9697661152310325,True,-170.0,-0.9697661152310325,False
震荡_阳线_9K,9,2026-03-20 01:46:00,2026-03-20 01:54:00,147.0,0.8387059964626007,True,-147.0,-0.8387059964626007,False
震荡_阳线_9K,9,2026-03-20 01:47:00,2026-03-20 01:55:00,139.0,0.7925647166153494,True,-139.0,-0.7925647166153494,False
震荡_阳线_9K,9,2026-03-20 01:48:00,2026-03-20 01:56:00,89.0,0.5073827033806511,True,-89.0,-0.5073827033806511,False
震荡_阳线_9K,9,2026-03-20 01:49:00,2026-03-20 01:57:00,97.0,0.5532109045283449,True,-97.0,-0.5532109045283449,False
震荡_阳线_9K,9,2026-03-20 01:50:00,2026-03-20 01:58:00,83.0,0.4731231830359688,True,-83.0,-0.4731231830359688,False
震荡_阴线_9K,9,2026-03-20 01:51:00,2026-03-20 01:59:00,46.0,0.2621381354000456,True,-46.0,-0.2621381354000456,False
震荡_阴线_9K,9,2026-03-20 01:52:00,2026-03-20 02:00:00,-14.0,-0.07948223004428297,False,14.0,0.07948223004428297,True
震荡_阴线_9K,9,2026-03-20 01:53:00,2026-03-20 02:01:00,-16.0,-0.0907698417200885,False,16.0,0.0907698417200885,True
震荡_阴线_9K,9,2026-03-20 01:54:00,2026-03-20 02:02:00,-67.0,-0.3785310734463277,False,67.0,0.3785310734463277,True
震荡_阴线_9K,9,2026-03-20 01:55:00,2026-03-20 02:03:00,-90.0,-0.5092225868507413,False,90.0,0.5092225868507413,True
震荡_阴线_9K,9,2026-03-20 01:56:00,2026-03-20 02:04:00,-102.0,-0.5770209877241613,False,102.0,0.5770209877241613,True
震荡_星线_9K,9,2026-03-20 01:57:00,2026-03-20 02:05:00,-25.0,-0.14177961776215053,False,25.0,0.14177961776215053,True
震荡_阴线_9K,9,2026-03-20 01:58:00,2026-03-20 02:06:00,-37.0,-0.20985763711644265,False,37.0,0.20985763711644265,True
震荡_阴线_9K,9,2026-03-20 01:59:00,2026-03-20 02:07:00,-25.0,-0.1418359242028821,False,25.0,0.1418359242028821,True
震荡_阳线_9K,9,2026-03-20 02:00:00,2026-03-20 02:08:00,-3.0,-0.01704642309222115,False,3.0,0.01704642309222115,True
震荡_阳线_9K,9,2026-03-20 02:01:00,2026-03-20 02:09:00,-4.0,-0.022732439190725165,False,4.0,0.022732439190725165,True
震荡_阳线_9K,9,2026-03-20 02:02:00,2026-03-20 02:10:00,-1.0,-0.0056785917092561046,False,1.0,0.0056785917092561046,True
震荡_阴线_9K,9,2026-03-20 02:03:00,2026-03-20 02:11:00,-4.0,-0.02267702250694484,False,4.0,0.02267702250694484,True
震荡_阳线_9K,9,2026-03-20 02:04:00,2026-03-20 02:12:00,44.0,0.2503128911138924,True,-44.0,-0.2503128911138924,False
震荡_阳线_9K,9,2026-03-20 02:05:00,2026-03-20 02:13:00,59.0,0.3357041251778094,True,-59.0,-0.3357041251778094,False
震荡_阴线_9K,9,2026-03-20 02:06:00,2026-03-20 02:14:00,23.0,0.13060760931289042,True,-23.0,-0.13060760931289042,False
震荡_星线_9K,9,2026-03-20 02:07:00,2026-03-20 02:15:00,45.0,0.2557690121632375,True,-45.0,-0.2557690121632375,False
震荡_阳线_9K,9,2026-03-20 02:08:00,2026-03-20 02:16:00,48.0,0.27271177773990113,True,-48.0,-0.27271177773990113,False
震荡_阳线_9K,9,2026-03-20 02:09:00,2026-03-20 02:17:00,49.0,0.2785356980445657,True,-49.0,-0.2785356980445657,False
震荡_阳线_9K,9,2026-03-20 02:10:00,2026-03-20 02:18:00,34.0,0.19328065488033655,True,-34.0,-0.19328065488033655,False
震荡_阴线_9K,9,2026-03-20 02:11:00,2026-03-20 02:19:00,-13.0,-0.07381330910742676,False,13.0,0.07381330910742676,True
震荡_阴线_9K,9,2026-03-20 02:12:00,2026-03-20 02:20:00,-43.0,-0.24383328607882052,False,43.0,0.24383328607882052,True
震荡_阴线_9K,9,2026-03-20 02:13:00,2026-03-20 02:21:00,-6.0,-0.0340560790101033,False,6.0,0.0340560790101033,True
震荡_阴线_9K,9,2026-03-20 02:14:00,2026-03-20 02:22:00,-17.0,-0.09640467279119881,False,17.0,0.09640467279119881,True
震荡_阴线_9K,9,2026-03-20 02:15:00,2026-03-20 02:23:00,-28.0,-0.15876616012701295,False,28.0,0.15876616012701295,True
震荡_阴线_9K,9,2026-03-20 02:16:00,2026-03-20 02:24:00,-44.0,-0.24946139018029254,False,44.0,0.24946139018029254,True
震荡_阴线_9K,9,2026-03-20 02:17:00,2026-03-20 02:25:00,-50.0,-0.2832540222071153,False,50.0,0.2832540222071153,True
震荡_阴线_9K,9,2026-03-20 02:18:00,2026-03-20 02:26:00,-16.0,-0.0906978062468114,False,16.0,0.0906978062468114,True
震荡_阴线_9K,9,2026-03-20 02:19:00,2026-03-20 02:27:00,8.0,0.04539007092198582,True,-8.0,-0.04539007092198582,False
震荡_阳线_9K,9,2026-03-20 02:20:00,2026-03-20 02:28:00,49.0,0.2784565550946184,True,-49.0,-0.2784565550946184,False
震荡_阳线_9K,9,2026-03-20 02:21:00,2026-03-20 02:29:00,49.0,0.2785356980445657,True,-49.0,-0.2785356980445657,False
震荡_阳线_9K,9,2026-03-20 02:22:00,2026-03-20 02:30:00,50.0,0.2839457095803283,True,-50.0,-0.2839457095803283,False
上涨_阳线_9K,9,2026-03-20 02:23:00,2026-03-20 09:01:00,351.0,1.992619926199262,True,-351.0,-1.992619926199262,False
上涨_阳线_9K,9,2026-03-20 02:24:00,2026-03-20 09:02:00,390.0,2.215028113818368,True,-390.0,-2.215028113818368,False
上涨_阳线_9K,9,2026-03-20 02:25:00,2026-03-20 09:03:00,429.0,2.4381926683716966,True,-429.0,-2.4381926683716966,False
上涨_阳线_9K,9,2026-03-20 02:26:00,2026-03-20 09:04:00,490.0,2.7837745710714694,True,-490.0,-2.7837745710714694,False
上涨_阳线_9K,9,2026-03-20 02:27:00,2026-03-20 09:05:00,503.0,2.853900709219858,True,-503.0,-2.853900709219858,False
上涨_阳线_9K,9,2026-03-20 02:28:00,2026-03-20 09:06:00,480.0,2.7226318774815654,True,-480.0,-2.7226318774815654,False
上涨_阴线_9K,9,2026-03-20 02:29:00,2026-03-20 09:07:00,506.0,2.8673428911429704,True,-506.0,-2.8673428911429704,False
上涨_阳线_9K,9,2026-03-20 02:30:00,2026-03-20 09:08:00,558.0,3.163085992857548,True,-558.0,-3.163085992857548,False
震荡_阳线_9K,9,2026-03-20 09:01:00,2026-03-20 09:09:00,299.0,1.6713247624371157,True,-299.0,-1.6713247624371157,False
震荡_阳线_9K,9,2026-03-20 09:02:00,2026-03-20 09:10:00,143.0,0.7955493741307371,True,-143.0,-0.7955493741307371,False
震荡_阴线_9K,9,2026-03-20 09:03:00,2026-03-20 09:11:00,110.0,0.6112129799411014,True,-110.0,-0.6112129799411014,False
