combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
8,5,5,2026-03-19 22:20:00,132710.0,2026-03-19 22:22:00,132600.0,2,-0.0828874990580966,False,0.0828874990580966,True,1#大阴-0.04%;2#中阳+0.03%;3#长上影阳+0.07%;4#大阳+0.08%;5#大阳+0.13%,大阳
8,5,5,2026-03-19 22:53:00,133100.0,2026-03-19 22:55:00,133670.0,2,0.42824943651389935,True,-0.42824943651389935,False,1#中阴-0.05%;2#大阳+0.02%;3#大阳+0.02%;4#大阳+0.08%;5#大阳+0.11%,长下影阳
8,5,5,2026-03-19 22:54:00,133460.0,2026-03-19 22:56:00,133550.0,2,0.06743593586093212,True,-0.06743593586093212,False,1#大阳+0.02%;2#大阳+0.02%;3#大阳+0.08%;4#大阳+0.11%;5#长下影阳+0.02%,长上影阳
8,5,5,2026-03-19 22:55:00,133670.0,2026-03-19 22:57:00,133520.0,2,-0.11221665295129797,False,0.11221665295129797,True,1#大阳+0.02%;2#大阳+0.08%;3#大阳+0.11%;4#长下影阳+0.02%;5#长上影阳+0.01%,大阳
8,5,5,2026-03-19 22:56:00,133550.0,2026-03-19 22:58:00,133400.0,2,-0.11231748408835641,False,0.11231748408835641,True,1#大阳+0.08%;2#大阳+0.11%;3#长下影阳+0.02%;4#长上影阳+0.01%;5#大阳+0.22%,十字星
8,5,5,2026-03-19 23:05:00,133930.0,2026-03-19 23:07:00,134250.0,2,0.23893078473829613,True,-0.23893078473829613,False,1#倒T+0.00%;2#长上影阳+0.01%;3#长上影阳+0.01%;4#大阳+0.08%;5#大阳+0.12%,中阳
8,5,5,2026-03-19 23:06:00,134100.0,2026-03-19 23:08:00,134070.0,2,-0.02237136465324385,False,0.02237136465324385,True,1#长上影阳+0.01%;2#长上影阳+0.01%;3#大阳+0.08%;4#大阳+0.12%;5#中阳+0.11%,中阳
8,5,5,2026-03-19 23:07:00,134250.0,2026-03-19 23:09:00,134110.0,2,-0.1042830540037244,False,0.1042830540037244,True,1#长上影阳+0.01%;2#大阳+0.08%;3#大阳+0.12%;4#中阳+0.11%;5#中阳+0.13%,长上影阳
8,5,5,2026-03-19 23:08:00,134070.0,2026-03-19 23:10:00,133990.0,2,-0.059670321473856945,False,0.059670321473856945,True,1#大阳+0.08%;2#大阳+0.12%;3#中阳+0.11%;4#中阳+0.13%;5#长上影阳+0.10%,大阴
8,5,5,2026-03-19 23:47:00,133800.0,2026-03-19 23:49:00,133980.0,2,0.13452914798206278,True,-0.13452914798206278,False,1#中阴-0.06%;2#小阳+0.02%;3#大阳+0.08%;4#长上影阳+0.01%;5#大阳+0.19%,大阴
8,5,5,2026-03-19 23:52:00,134090.0,2026-03-19 23:54:00,134040.0,2,-0.03728838839585353,False,0.03728838839585353,True,1#大阴-0.09%;2#中阳+0.03%;3#大阳+0.11%;4#T字+0.01%;5#长下影阳+0.01%,长上影阳
8,5,5,2026-03-19 23:53:00,134100.0,2026-03-19 23:55:00,133950.0,2,-0.11185682326621924,False,0.11185682326621924,True,1#中阳+0.03%;2#大阳+0.11%;3#T字+0.01%;4#长下影阳+0.01%;5#长上影阳+0.05%,长下影阳
8,5,5,2026-03-19 23:54:00,134040.0,2026-03-19 23:56:00,133910.0,2,-0.0969859743360191,False,0.0969859743360191,True,1#大阳+0.11%;2#T字+0.01%;3#长下影阳+0.01%;4#长上影阳+0.05%;5#长下影阳+0.01%,中阴
8,5,5,2026-03-20 00:10:00,134240.0,2026-03-20 00:12:00,134140.0,2,-0.07449344457687723,False,0.07449344457687723,True,1#大阴-0.04%;2#十字星+0.00%;3#中阳+0.05%;4#中阳+0.13%;5#小阳+0.01%,中阴
8,5,5,2026-03-20 09:18:00,135050.0,2026-03-20 09:20:00,134960.0,2,-0.06664198445020363,False,0.06664198445020363,True,1#大阴-0.14%;2#长下影阳+0.04%;3#大阳+0.18%;4#中阴-0.01%;5#长上影阳+0.04%,大阴
8,5,5,2026-03-20 09:19:00,135040.0,2026-03-20 09:21:00,134950.0,2,-0.06664691943127962,False,0.06664691943127962,True,1#长下影阳+0.04%;2#大阳+0.18%;3#中阴-0.01%;4#长上影阳+0.04%;5#大阴-0.06%,长下影阴
8,5,5,2026-03-20 10:36:00,134850.0,2026-03-20 10:38:00,134690.0,2,-0.11865035224323323,False,0.11865035224323323,True,1#长上影阴-0.04%;2#十字星-0.01%;3#长下影阳+0.02%;4#中阴-0.03%;5#中阳+0.04%,中阳
8,5,5,2026-03-20 10:37:00,134770.0,2026-03-20 10:39:00,134640.0,2,-0.09646063664020182,False,0.09646063664020182,True,1#十字星-0.01%;2#长下影阳+0.02%;3#中阴-0.03%;4#中阳+0.04%;5#中阳+0.03%,中阳
8,5,5,2026-03-20 13:57:00,133580.0,2026-03-20 13:59:00,133510.0,2,-0.052403054349453505,False,0.052403054349453505,True,1#大阴-0.05%;2#中阳+0.02%;3#大阳+0.06%;4#长下影阳+0.01%;5#长下影阳+0.04%,长上影阳
8,5,5,2026-03-20 13:58:00,133540.0,2026-03-20 14:00:00,133710.0,2,0.12730268084469074,True,-0.12730268084469074,False,1#中阳+0.02%;2#大阳+0.06%;3#长下影阳+0.01%;4#长下影阳+0.04%;5#长上影阳+0.04%,中阴
8,5,5,2026-03-20 14:04:00,134110.0,2026-03-20 14:06:00,134090.0,2,-0.014913131011855938,False,0.014913131011855938,True,1#中阴-0.02%;2#大阳+0.03%;3#大阳+0.10%;4#中阳+0.04%;5#中阳+0.04%,中阳
8,5,5,2026-03-20 14:05:00,134040.0,2026-03-20 14:07:00,134050.0,2,0.007460459564309162,True,-0.007460459564309162,False,1#大阳+0.03%;2#大阳+0.10%;3#中阳+0.04%;4#中阳+0.04%;5#中阳+0.10%,中阳
8,5,5,2026-03-20 14:53:00,133400.0,2026-03-20 14:55:00,133220.0,2,-0.13493253373313344,False,0.13493253373313344,True,1#大阴-0.16%;2#长下影阳+0.02%;3#小阳+0.01%;4#长上影阳+0.04%;5#中阳+0.03%,中阴
