combo_type,length,start_time,end_time,long_pnl,long_pnl_pct,long_win,short_pnl,short_pnl_pct,short_win
震荡_阳线_5K,5,2026-03-19 00:21:00,2026-03-19 00:25:00,300.0,0.08399361648514712,True,-300.0,-0.08399361648514712,False
震荡_阴线_5K,5,2026-03-19 00:22:00,2026-03-19 00:26:00,30.0,0.008396305625524769,True,-30.0,-0.008396305625524769,False
震荡_阳线_5K,5,2026-03-19 00:23:00,2026-03-19 00:27:00,210.0,0.05878730194278036,True,-210.0,-0.05878730194278036,False
震荡_阳线_5K,5,2026-03-19 00:24:00,2026-03-19 00:28:00,380.0,0.10633534810835013,True,-380.0,-0.10633534810835013,False
震荡_阳线_5K,5,2026-03-19 00:25:00,2026-03-19 00:29:00,240.0,0.06714413607878246,True,-240.0,-0.06714413607878246,False
震荡_阳线_5K,5,2026-03-19 00:26:00,2026-03-19 00:30:00,640.0,0.17903600302123254,True,-640.0,-0.17903600302123254,False
震荡_阳线_5K,5,2026-03-19 00:27:00,2026-03-19 00:31:00,820.0,0.22953114065780264,True,-820.0,-0.22953114065780264,False
震荡_阴线_5K,5,2026-03-19 00:28:00,2026-03-19 00:32:00,570.0,0.15947178468511317,True,-570.0,-0.15947178468511317,False
震荡_阴线_5K,5,2026-03-19 00:29:00,2026-03-19 00:33:00,30.0,0.00838597864370772,True,-30.0,-0.00838597864370772,False
震荡_阴线_5K,5,2026-03-19 00:30:00,2026-03-19 00:34:00,-70.0,-0.019570565868933125,False,70.0,0.019570565868933125,True
震荡_阴线_5K,5,2026-03-19 00:31:00,2026-03-19 00:35:00,-430.0,-0.12007483734048198,False,430.0,0.12007483734048198,True
震荡_阴线_5K,5,2026-03-19 00:32:00,2026-03-19 00:36:00,-570.0,-0.15918675119390063,False,570.0,0.15918675119390063,True
震荡_阴线_5K,5,2026-03-19 00:33:00,2026-03-19 00:37:00,-500.0,-0.13966480446927373,False,500.0,0.13966480446927373,True
震荡_阴线_5K,5,2026-03-19 00:34:00,2026-03-19 00:38:00,20.0,0.005590183637532492,True,-20.0,-0.005590183637532492,False
震荡_阴线_5K,5,2026-03-19 00:35:00,2026-03-19 00:39:00,250.0,0.06990855960403791,True,-250.0,-0.06990855960403791,False
震荡_阳线_5K,5,2026-03-19 00:36:00,2026-03-19 00:40:00,270.0,0.07546747910668866,True,-270.0,-0.07546747910668866,False
震荡_阳线_5K,5,2026-03-19 00:37:00,2026-03-19 00:41:00,320.0,0.0894854586129754,True,-320.0,-0.0894854586129754,False
震荡_阳线_5K,5,2026-03-19 00:38:00,2026-03-19 00:42:00,430.0,0.12027635590612851,True,-430.0,-0.12027635590612851,False
震荡_阳线_5K,5,2026-03-19 00:39:00,2026-03-19 00:43:00,390.0,0.10899944102850753,True,-390.0,-0.10899944102850753,False
震荡_阳线_5K,5,2026-03-19 00:40:00,2026-03-19 00:44:00,180.0,0.05030743432084964,True,-180.0,-0.05030743432084964,False
震荡_阴线_5K,5,2026-03-19 00:41:00,2026-03-19 00:45:00,-60.0,-0.016760244699572616,False,60.0,0.016760244699572616,True
震荡_阴线_5K,5,2026-03-19 00:42:00,2026-03-19 00:46:00,-170.0,-0.04749664729548503,False,170.0,0.04749664729548503,True
震荡_阴线_5K,5,2026-03-19 00:43:00,2026-03-19 00:47:00,-180.0,-0.05028775772475834,False,180.0,0.05028775772475834,True
震荡_阴线_5K,5,2026-03-19 00:44:00,2026-03-19 00:48:00,-490.0,-0.13679890560875513,False,490.0,0.13679890560875513,True
震荡_阴线_5K,5,2026-03-19 00:45:00,2026-03-19 00:49:00,-370.0,-0.10335195530726257,False,370.0,0.10335195530726257,True
震荡_阴线_5K,5,2026-03-19 00:46:00,2026-03-19 00:50:00,-200.0,-0.0558768474282681,False,200.0,0.0558768474282681,True
震荡_阴线_5K,5,2026-03-19 00:47:00,2026-03-19 00:51:00,10.0,0.002794857462269424,True,-10.0,-0.002794857462269424,False
震荡_阴线_5K,5,2026-03-19 00:48:00,2026-03-19 00:52:00,170.0,0.04751788908765653,True,-170.0,-0.04751788908765653,False
震荡_阳线_5K,5,2026-03-19 00:49:00,2026-03-19 00:53:00,590.0,0.1649426894045289,True,-590.0,-0.1649426894045289,False
