combo_type,组合数量,平均长度,多仓平均收益%,多仓收益标准差,多仓最小收益%,多仓最大收益%,多仓盈利单数,多仓胜率,空仓平均收益%,空仓收益标准差,空仓最小收益%,空仓最大收益%,空仓盈利单数,空仓胜率
下跌_阴线_11K,6,11.0,-4.7285,0.2993,-5.2441,-4.4327,0,0.0,4.7285,0.2993,4.4327,5.2441,6,1.0
下跌_阳线_8K,6,8.0,-4.6021,0.3777,-5.2208,-4.3102,0,0.0,4.6021,0.3777,4.3102,5.2208,6,1.0
下跌_阳线_12K,6,12.0,-4.2279,0.1653,-4.4884,-4.0345,0,0.0,4.2279,0.1653,4.0345,4.4884,6,1.0
下跌_阳线_10K,6,10.0,-4.2809,0.1411,-4.4742,-4.1025,0,0.0,4.2809,0.1411,4.1025,4.4742,6,1.0
下跌_阳线_7K,5,7.0,-4.7087,0.3817,-5.3013,-4.3496,0,0.0,4.7087,0.3817,4.3496,5.3013,5,1.0
下跌_阴线_12K,5,12.0,-4.8903,0.3055,-5.1957,-4.4525,0,0.0,4.8903,0.3055,4.4525,5.1957,5,1.0
下跌_阳线_11K,4,11.0,-4.172,0.1461,-4.3536,-4.0209,0,0.0,4.172,0.1461,4.0209,4.3536,4,1.0
下跌_阳线_9K,4,9.0,-4.2936,0.1129,-4.4291,-4.1622,0,0.0,4.2936,0.1129,4.1622,4.4291,4,1.0
下跌_阴线_9K,4,9.0,-4.7515,0.4296,-5.2655,-4.2731,0,0.0,4.7515,0.4296,4.2731,5.2655,4,1.0
下跌_阴线_10K,3,10.0,-4.8713,0.4022,-5.2673,-4.4633,0,0.0,4.8713,0.4022,4.4633,5.2673,3,1.0
下跌_阴线_6K,3,6.0,-4.8569,0.45,-5.3603,-4.4934,0,0.0,4.8569,0.45,4.4934,5.3603,3,1.0
下跌_阳线_5K,2,5.0,-4.6928,0.4343,-4.9999,-4.3857,0,0.0,4.6928,0.4343,4.3857,4.9999,2,1.0
下跌_阳线_6K,2,6.0,-4.6225,0.45,-4.9407,-4.3044,0,0.0,4.6225,0.45,4.3044,4.9407,2,1.0
下跌_阴线_5K,2,5.0,-5.1271,0.5366,-5.5065,-4.7476,0,0.0,5.1271,0.5366,4.7476,5.5065,2,1.0
下跌_阴线_7K,1,7.0,-4.3409,,-4.3409,-4.3409,0,0.0,4.3409,,4.3409,4.3409,1,1.0
下跌_阴线_8K,1,8.0,-4.5913,,-4.5913,-4.5913,0,0.0,4.5913,,4.5913,4.5913,1,1.0
