datetime,open,high,low,close,volume,hold
2026-03-20 00:35:00,134020.0,134100.0,134020.0,134020.0,2,183338
2026-03-20 00:36:00,134020.0,134030.0,133950.0,134000.0,36,183340
2026-03-20 00:37:00,133990.0,134020.0,133960.0,134020.0,26,183335
2026-03-20 00:38:00,134020.0,134070.0,133990.0,134020.0,92,183354
2026-03-20 00:39:00,134030.0,134060.0,134000.0,134040.0,9,183305
2026-03-20 00:40:00,134040.0,134150.0,134020.0,134100.0,3,183194
2026-03-20 00:41:00,134100.0,134120.0,134050.0,134110.0,3,183176
2026-03-20 00:42:00,134110.0,134110.0,134030.0,134030.0,37,183129
2026-03-20 00:43:00,134050.0,134090.0,133980.0,133980.0,4,183011
2026-03-20 00:44:00,133990.0,134010.0,133970.0,134010.0,3,182964
2026-03-20 00:45:00,134010.0,134020.0,133990.0,133990.0,8,182955
2026-03-20 00:46:00,134000.0,134030.0,133970.0,134000.0,24,182941
2026-03-20 00:47:00,134000.0,134000.0,133830.0,133950.0,33,182675
2026-03-20 00:48:00,133950.0,133950.0,133880.0,133950.0,16,182676
2026-03-20 00:49:00,133950.0,133960.0,133860.0,133880.0,31,182668
2026-03-20 00:50:00,133880.0,133930.0,133870.0,133890.0,52,182641
2026-03-20 00:51:00,133890.0,134000.0,133850.0,133960.0,26,182498
2026-03-20 00:52:00,133960.0,133960.0,133870.0,133870.0,38,182474
2026-03-20 00:53:00,133870.0,133870.0,133770.0,133820.0,4,182351
2026-03-20 00:54:00,133820.0,133860.0,133810.0,133850.0,2,182316
2026-03-20 00:55:00,133850.0,133970.0,133810.0,133940.0,36,182235
2026-03-20 00:56:00,133940.0,133940.0,133860.0,133900.0,44,182162
2026-03-20 00:57:00,133900.0,133950.0,133880.0,133920.0,82,182066
2026-03-20 00:58:00,133930.0,133960.0,133910.0,133930.0,4,181852
2026-03-20 00:59:00,133930.0,133950.0,133890.0,133900.0,15,181700
2026-03-20 01:00:00,133890.0,134040.0,133890.0,133990.0,92,181149
2026-03-20 09:01:00,134500.0,134500.0,134040.0,134310.0,429,181013
2026-03-20 09:02:00,134340.0,134710.0,134310.0,134580.0,3240,181054
2026-03-20 09:03:00,134600.0,134600.0,134330.0,134580.0,2297,180866
2026-03-20 09:04:00,134560.0,134720.0,134460.0,134580.0,2100,180755
2026-03-20 09:05:00,134560.0,134920.0,134560.0,134830.0,3072,180892
2026-03-20 09:06:00,134830.0,134890.0,134690.0,134690.0,1724,180719
2026-03-20 09:07:00,134700.0,134750.0,134500.0,134500.0,1652,180668
2026-03-20 09:08:00,134500.0,134660.0,134480.0,134660.0,1071,180624
2026-03-20 09:09:00,134660.0,134770.0,134570.0,134710.0,1290,180705
2026-03-20 09:10:00,134720.0,134810.0,134660.0,134700.0,949,180654
2026-03-20 09:11:00,134700.0,134730.0,134620.0,134670.0,168,180567
2026-03-20 09:12:00,134680.0,134680.0,134490.0,134500.0,13,180461
2026-03-20 09:13:00,134520.0,134520.0,134290.0,134330.0,1486,180480
2026-03-20 09:14:00,134300.0,134370.0,134220.0,134350.0,910,180374
2026-03-20 09:15:00,134340.0,134620.0,134340.0,134580.0,1023,180276
2026-03-20 09:16:00,134910.0,134920.0,134880.0,134890.0,325,180427
2026-03-20 09:17:00,134970.0,135170.0,134950.0,135020.0,1006,180451
2026-03-20 09:18:00,135130.0,135130.0,135050.0,135050.0,75,180531
2026-03-20 09:19:00,135090.0,135090.0,134940.0,135040.0,1059,180649
2026-03-20 09:20:00,135040.0,135050.0,134960.0,134960.0,1019,180792
2026-03-20 09:21:00,134950.0,135040.0,134940.0,134950.0,377,180685
2026-03-20 09:22:00,134960.0,135150.0,134940.0,135150.0,238,180674
2026-03-20 09:23:00,135410.0,135480.0,135410.0,135460.0,835,180440
