combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
7,3,3,2026-03-20 01:22:00,17472.0,2026-03-20 01:25:00,17533.0,3,0.34913003663003667,True,-0.34913003663003667,False,1#大阳+0.28%;2#中阳+0.18%;3#中阳+0.11%,中阴
7,3,3,2026-03-20 01:27:00,17588.0,2026-03-20 01:30:00,17521.0,3,-0.38094155105753924,False,0.38094155105753924,True,1#长下影阴-0.02%;2#大阳+0.37%;3#长上影阳+0.06%,大阳
7,3,3,2026-03-20 01:28:00,17546.0,2026-03-20 01:31:00,17555.0,3,0.05129374216345606,True,-0.05129374216345606,False,1#大阳+0.37%;2#长上影阳+0.06%;3#大阳+0.27%,大阴
7,3,3,2026-03-20 01:39:00,17548.0,2026-03-20 01:42:00,17541.0,3,-0.039890585821746066,False,0.039890585821746066,True,1#大阴-0.07%;2#倒T+0.01%;3#长上影阳+0.06%,大阳
7,3,3,2026-03-20 01:40:00,17546.0,2026-03-20 01:43:00,17531.0,3,-0.08548957027242676,False,0.08548957027242676,True,1#倒T+0.01%;2#长上影阳+0.06%;3#大阳+0.11%,十字星
7,3,3,2026-03-20 01:48:00,17537.0,2026-03-20 01:51:00,17606.0,3,0.3934538404516166,True,-0.3934538404516166,False,1#倒T-0.01%;2#大阳+0.06%;3#中阳+0.04%,长上影阴
7,3,3,2026-03-20 01:51:00,17606.0,2026-03-20 01:54:00,17674.0,3,0.38623196637509943,True,-0.38623196637509943,False,1#长上影阴-0.02%;2#中阳+0.05%;3#中阳+0.03%,大阳
7,3,3,2026-03-20 01:52:00,17629.0,2026-03-20 01:55:00,17677.0,3,0.2722786317998752,True,-0.2722786317998752,False,1#中阳+0.05%;2#中阳+0.03%;3#大阳+0.33%,中阳
7,3,3,2026-03-20 01:53:00,17700.0,2026-03-20 01:56:00,17630.0,3,-0.39548022598870053,False,0.39548022598870053,True,1#中阳+0.03%;2#大阳+0.33%;3#中阳+0.09%,大阳
7,3,3,2026-03-20 01:54:00,17674.0,2026-03-20 01:57:00,17631.0,3,-0.24329523593979857,False,0.24329523593979857,True,1#大阳+0.33%;2#中阳+0.09%;3#大阳+0.41%,中阴
7,3,3,2026-03-20 02:02:00,17633.0,2026-03-20 02:05:00,17608.0,3,-0.14177961776215053,False,0.14177961776215053,True,1#大阴-0.18%;2#十字星+0.01%;3#大阳+0.09%,大阳
7,3,3,2026-03-20 02:03:00,17584.0,2026-03-20 02:06:00,17594.0,3,0.05686988171064604,True,-0.05686988171064604,False,1#十字星+0.01%;2#大阳+0.09%;3#大阳+0.13%,大阴
7,3,3,2026-03-20 02:12:00,17622.0,2026-03-20 02:15:00,17639.0,3,0.09647032118942231,True,-0.09647032118942231,False,1#十字星+0.00%;2#中阳+0.10%;3#大阳+0.13%,中阴
7,3,3,2026-03-20 02:17:00,17641.0,2026-03-20 02:20:00,17592.0,3,-0.27776203163085994,False,0.27776203163085994,True,1#十字星-0.01%;2#倒T+0.02%;3#中阳+0.06%,长下影阴
7,3,3,2026-03-20 02:23:00,17608.0,2026-03-20 02:26:00,17625.0,3,0.09654702407996364,True,-0.09654702407996364,False,1#长上影阴-0.03%;2#中阳+0.11%;3#长下影阳+0.05%,长上影阴
