combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
11,4,4,2026-03-19 14:28:00,1075.66,2026-03-19 14:34:00,1073.18,6,-0.2305561236822061,False,0.2305561236822061,True,1#大阴-0.12%;2#大阳+0.05%;3#T字-0.01%;4#大阳+0.04%,大阳
11,4,4,2026-03-19 14:29:00,1074.8,2026-03-19 14:35:00,1072.24,6,-0.2381838481577917,False,0.2381838481577917,True,1#大阳+0.05%;2#T字-0.01%;3#大阳+0.04%;4#大阳+0.05%,大阴
11,4,4,2026-03-19 14:59:00,1062.46,2026-03-19 21:05:00,1014.28,6,-4.534758955631276,False,4.534758955631276,True,1#中阴-0.07%;2#中阳+0.08%;3#大阳+0.07%;4#大阳+0.15%,大阳
11,4,4,2026-03-19 15:00:00,1062.0,2026-03-19 21:06:00,1015.9,6,-4.340866290018835,False,4.340866290018835,True,1#中阳+0.08%;2#大阳+0.07%;3#大阳+0.15%;4#大阳+0.08%,一字板
11,4,4,2026-03-19 21:07:00,1013.24,2026-03-19 21:13:00,1010.78,6,-0.24278551971892506,False,0.24278551971892506,True,1#大阴-0.38%;2#大阳+0.82%;3#中阳+0.20%;4#十字星+0.02%,中阴
11,4,4,2026-03-19 21:16:00,1010.16,2026-03-19 21:22:00,1019.3,6,0.9048071592618978,True,-0.9048071592618978,False,1#十字星+0.01%;2#长下影阳+0.08%;3#中阳+0.12%;4#长下影阴-0.04%,小阴
11,4,4,2026-03-19 21:20:00,1016.8,2026-03-19 21:26:00,1016.78,6,-0.001966955153420713,False,0.001966955153420713,True,1#小阴-0.08%;2#大阳+0.32%;3#大阳+0.25%;4#T字-0.01%,长上影阳
11,4,4,2026-03-19 21:21:00,1019.86,2026-03-19 21:27:00,1016.72,6,-0.30788539603474857,False,0.30788539603474857,True,1#大阳+0.32%;2#大阳+0.25%;3#T字-0.01%;4#长上影阳+0.07%,长下影阳
11,4,4,2026-03-19 21:22:00,1019.3,2026-03-19 21:28:00,1018.0,6,-0.12753850681840034,False,0.12753850681840034,True,1#大阳+0.25%;2#T字-0.01%;3#长上影阳+0.07%;4#长下影阳+0.06%,小阳
11,4,4,2026-03-19 21:31:00,1019.34,2026-03-19 21:37:00,1017.52,6,-0.1785469028979585,False,0.1785469028979585,True,1#长下影阴-0.04%;2#十字星+0.02%;3#长下影阴-0.04%;4#T字-0.01%,十字星
